timestamp,count_active_player
1699837319000,3573
1699840917000,4039
1699844466000,4444
1699848162000,4630
1699851728000,4859
1699855370000,4233
1699858900000,3558
1699862514000,3238
1699866108000,3306
1699869657000,3408
1699873266000,3787
1699876891000,5035
1699880437000,6913
1699884105000,8094
1699887685000,7451
1699891259000,5564
1699894855000,3945
1699898511000,3200
1699902062000,2869
1699905676000,2809
1699909296000,2807
1699912857000,2743
1699916513000,2356
1699920113000,2407
1699923709000,2889
1699927317000,3554
1699930995000,4004
1699934475000,4120
1699938059000,4154
1699941668000,3515
1699945275000,3208
1699948859000,3185
1699952517000,3207
1699956049000,3231
1699959644000,3629
1699963272000,4789
1699966891000,6434
1699970465000,7898
1699974051000,7434
1699977715000,5424
1699981263000,3838
1699984898000,3133
1699988487000,2691
1699992104000,2718
1699995711000,2594
1699999281000,2478
1700002882000,2259
1700006525000,2293
1700010107000,2593
1700013672000,3195
1700017253000,3654
1700020889000,3790
1700024495000,3950
1700028068000,3462
1700031716000,3052
1700035275000,2891
1700038901000,2909
1700042526000,2994
1700046058000,3480
1700049651000,4558
1700053293000,6240
1700056865000,7489
1700060486000,7040
1700064035000,5129
1700067661000,3609
1700071269000,2897
1700074889000,2635
1700078492000,2456
1700082116000,2471
1700085607000,2302
1700089351000,2190
1700092935000,2231
1700096525000,2605
1700100145000,3232
1700103668000,3693
1700107269000,3606
1700110872000,3739
1700114525000,3295
1700118110000,2928
1700121656000,2714
1700125277000,2849
1700128910000,2886
1700132450000,3514
1700136137000,4576
1700139648000,5623
1700143280000,6872
1700146836000,6650
1700150472000,4920
1700154068000,3567
1697587200000,19789
1700157698000,2875
1700161270000,2507
1700164927000,2428
1700168505000,2512
1700172140000,2280
1700175737000,2131
1700179290000,2153
1700182920000,2406
1700186535000,2906
1700190142000,3371
1700193765000,3678
1700197279000,3800
1700200873000,3450
1700204470000,3083
1700208057000,3050
1700211676000,3013
1700215318000,3179
1700218847000,3450
1700222461000,4625
1700226070000,6352
1700229709000,7701
1700233247000,7788
1700236834000,6398
1700240498000,4664
1700244068000,3551
1700247672000,3146
1700251314000,2907
1700254928000,2979
1700258527000,3052
1700262104000,2782
1697673600000,18413
1700265661000,2668
1700269284000,2813
1700272925000,3793
1700276489000,4750
1700280150000,5123
1700283711000,5434
1700287309000,5824
1700290917000,5296
1700294501000,4958
1700298072000,4914
1700301665000,4347
1700305265000,4674
1700308847000,5608
1700312456000,7040
1700316130000,8295
1700319691000,8239
1700323271000,7131
1700326909000,5629
1700330527000,4358
1700334154000,3841
1700337725000,3624
1700341327000,3705
1700344929000,3497
1700348527000,3407
1697760000000,19351
1700352124000,3101
1700355789000,3158
1700359341000,3838
1700362902000,4482
1700366535000,5162
1700370088000,5725
1700373679000,5821
1700377286000,5819
1700380928000,5340
1700384505000,4771
1700388093000,4299
1700391726000,4175
1700395329000,5505
1700398925000,6863
1700402591000,7744
1700406120000,7126
1700409721000,5344
1700413326000,4145
1700416903000,3549
1700420528000,3323
1700424112000,3254
1700427737000,3239
1700431339000,3048
1700434869000,2792
1697846400000,20193
1700438531000,2716
1700442130000,2969
1700445728000,3327
1700449339000,3842
1700452883000,4009
1700456491000,4119
1700460095000,3534
1700463700000,3104
1700467274000,2783
1700470897000,2782
1700474474000,2789
1700478048000,3243
1700481645000,4295
1700485275000,5688
1700488866000,6834
1700492522000,6294
1700496072000,4833
1700499666000,3967
1700503284000,3256
1700506911000,2916
1700510528000,2780
1700514090000,2636
1700517733000,2380
1700521323000,2204
1697932800000,18440
1700524869000,2168
1700528460000,2376
1700532131000,2793
1700535698000,3274
1700539316000,3323
1700542878000,3517
1700546511000,3115
1698019200000,16406
1698105600000,15354
1698192000000,13827
1698278400000,13302
1698364800000,14387
1698451200000,15111
1698537600000,13767
1700550091000,2847
1700553689000,2632
1700557269000,2624
1700560880000,2768
1700564507000,3084
1700568051000,3963
1700571674000,5262
1700575265000,6113
1700578839000,5677
1700582518000,4222
1700586104000,3060
1700589673000,2477
1700593352000,2166
1700596948000,2261
1700600534000,2198
1700604131000,2094
1700607733000,1970
1700611342000,1948
1700614917000,2317
1700618518000,2667
1700622231000,3160
1700625763000,3112
1700629320000,3434
1700632941000,3031
1700636538000,2695
1700640097000,2603
1700643663000,2534
1700647280000,2547
1700650874000,2840
1700654453000,3845
1700658089000,5186
1700661692000,6161
1700665303000,5699
1700668888000,4406
1700672471000,3062
1700676113000,2645
1700679678000,2379
1700683307000,2448
1700686893000,2403
1700690507000,2119
1700694133000,1946
1700697726000,1868
1700701278000,2123
1700704940000,2577
1700708482000,3129
1700712140000,3471
1700715738000,3866
1700719319000,3510
1700722925000,3052
1700726537000,2890
1700730141000,2753
1700733698000,2619
1700737262000,2829
1700740868000,3772
1700744483000,5137
1700748131000,6186
1700751712000,5591
1700755366000,4238
1700758890000,3055
1700762576000,2660
1700766139000,2422
1700769674000,2284
1700773270000,2233
1700776929000,2078
1700780497000,1859
1700784127000,1694
1700787765000,1858
1700791298000,2287
1700794880000,2840
1700798551000,3040
1700802175000,3298
1700805750000,3077
1700809347000,2899
1700812933000,2735
1700816545000,2664
1700820141000,2525
1700823699000,2972
1700827291000,3717
1700830904000,5141
1700834531000,6356
1700838132000,6278
1700841672000,5197
1700845324000,3847
1700848910000,3209
1700852543000,2790
1700856163000,2630
1700859711000,2678
1700863342000,2553
1700866947000,2502
1700870542000,2397
1700874132000,2513
1700877727000,2876
1700881315000,3572
1700884885000,4107
1700888547000,4349
1700892142000,4346
1700895740000,4325
1700899336000,4168
1700902935000,3923
1700906539000,3545
1700910140000,3830
1700913728000,4635
1700917341000,5890
1700920908000,6785
1700924491000,6634
1700928135000,5453
1700931729000,4111
1700935309000,3354
1700938942000,2857
1700942521000,2836
1700946079000,2780
1700949758000,2725
1700953369000,2536
1700956928000,2407
1700960525000,2481
1700964131000,3097
1700967728000,3747
1700971309000,4164
1700975031000,4529
1700978540000,4662
1700982144000,4570
1700985736000,4485
1700989326000,4397
1700992898000,3860
1700996488000,3815
1701000135000,4732
1701003753000,5815
1701007315000,6279
1701010932000,5709
1701014542000,4339
1701018081000,3186
1701021738000,2902
1701025338000,2668
1701028937000,2704
1701032483000,2684
1701036107000,2483
1701039725000,2242
1701043320000,2220
1701046942000,2527
1701050547000,2845
1701054405000,3018
1701057855000,2939
1701061240000,3100
1701065049000,2711
1701068648000,2308
1701072240000,2277
1701075821000,2346
1701079405000,2383
1701082983000,2732
1701086523000,3629
1701090131000,4977
1701093699000,5620
1701097331000,5171
1701100931000,3917
1701104524000,2799
1701108073000,2228
1701111786000,2111
1701115311000,1981
1701118943000,1945
1701122578000,1779
1701126173000,1688
1701129744000,1691
1701133336000,1900
1701136967000,2376
1701140521000,2703
1701144144000,2773
1701147818000,2878
1701151424000,2614
1701155044000,2323
1701158635000,2194
1701162247000,2141
1701165882000,2345
1701169380000,2614
1701172915000,3456
1701176526000,4607
1701180090000,5554
1701183728000,4992
1701187330000,3629
1701190930000,2639
1701194516000,2260
1701198139000,2011
1701201716000,1934
1701205346000,1852
1701208899000,1715
1701212572000,1667
1698624000000,17145
1701216136000,1524
1701219720000,1820
1701223322000,2278
1701226899000,2769
1701230646000,3077
